epoch,train,test
0,10.433245938724326,10.421763883875954
1,8.852428246699505,8.860931147590788
2,9.100537331624613,9.061307953158313
3,9.321975631984788,9.287817770241968
4,9.448914540793938,9.415952813263733
5,9.559331003775801,9.529681495376042
6,9.682116142688233,9.65350554221546
7,9.722186586948261,9.690258326502821
8,9.834930980964858,9.806223573520784
9,9.884947516675608,9.862216517938208
