learning rate,momentum,batch size,epoch,train error,test error
0.1,0.8,100,0,6.5794002023748215,6.555583638749108
0.1,0.8,100,1,5.996961359594755,5.957303604571761
0.1,0.8,100,2,5.941248231984706,5.972219833299824
0.1,0.8,100,3,5.642338207989461,5.670660526647297
0.1,0.8,100,4,5.5183438259874285,5.543118826520317
0.1,0.8,100,5,5.455953759232577,5.519836479432192
0.1,0.8,100,6,5.463652729457659,5.500136903679309
0.1,0.8,100,7,5.349154093405398,5.440857122517713
0.1,0.8,100,8,5.1883227502853675,5.263707173813463
0.1,0.8,100,9,5.28620395866382,5.314941059085077
0.1,0.8,100,10,5.067433195739409,5.14520218461775
0.1,0.8,100,11,5.173040371212893,5.254921244469083
0.1,0.8,100,12,4.943891141301872,5.029339872884876
0.1,0.8,100,13,4.833670403505425,4.917412981680666
0.1,0.8,100,14,5.293089219920559,5.410576331087227
0.1,0.8,100,15,5.062458852035311,5.21591919411611
0.1,0.8,100,16,5.121428928038512,5.303529104960582
0.1,0.8,100,17,4.566315643540906,4.633084116926853
0.1,0.8,100,18,4.665631676906875,4.757595461142182
0.1,0.8,100,19,4.5016796338726355,4.51365979417549
0.1,0.8,100,20,5.35057961812666,5.64166718453956
0.1,0.8,100,21,4.651854841123324,4.73385727612702
0.1,0.8,100,22,5.178192500346974,5.426234003539216
0.1,0.8,100,23,4.426779709875354,4.493520165969368
0.1,0.8,100,24,4.583363733414211,4.68970175584299
0.1,0.8,100,25,4.493593028844685,4.534279033894289
0.1,0.8,100,26,4.5399293119204565,4.475326669612523
0.1,0.8,100,27,4.257226292766848,4.314002786070381
0.1,0.8,100,28,4.299424974594048,4.335891255145497
0.1,0.8,100,29,4.351513510888394,4.428314135601396
0.1,0.8,100,30,4.258407776952407,4.314995116999288
0.1,0.8,100,31,4.564884071190329,4.595882788657855
0.1,0.8,100,32,4.209822387918877,4.165588040465823
0.1,0.8,100,33,5.413364396951376,5.743202081914232
0.1,0.8,100,34,4.182068189759819,4.165669734196194
0.1,0.8,100,35,5.07336998174069,5.094172031404488
0.1,0.8,100,36,4.417321985662409,4.364119933205959
0.1,0.8,100,37,5.062007198750075,5.29402183146667
0.1,0.8,100,38,4.055461576297255,4.160285841105171
0.1,0.8,100,39,4.257933121648434,4.24330904035278
0.1,0.8,100,40,4.5117784473174165,4.744551558655332
0.1,0.8,100,41,4.1139425416048825,4.215124707981442
0.1,0.8,100,42,4.499480845127679,4.6808671171845155
0.1,0.8,100,43,4.383570929921446,4.428595407592595
0.1,0.8,100,44,4.2644935391460175,4.432250264780054
0.1,0.8,100,45,4.082018854566784,4.177615426086859
0.1,0.8,100,46,4.569367648827794,4.5630744235503204
0.1,0.8,100,47,4.445471754251168,4.515623531882428
0.1,0.8,100,48,3.805337654506586,3.83475519196041
0.1,0.8,100,49,4.842003248654914,5.108424256172291
0.1,0.8,100,50,4.264450721545652,4.246918352704623
0.1,0.8,100,51,3.774033464747051,3.7875876023745456
0.1,0.8,100,52,3.6369509398993802,3.613860026683087
0.1,0.8,100,53,3.845943931075596,3.9108780557753247
0.1,0.8,100,54,4.204781619879576,4.3613785954283335
0.1,0.8,100,55,3.763050552677287,3.746830104083459
0.1,0.8,100,56,3.8040822863149852,3.7733107973884388
0.1,0.8,100,57,3.774965917152356,3.7741607967749906
0.1,0.8,100,58,3.683828128862262,3.7083703513161086
0.1,0.8,100,59,4.250392307896468,4.384324769253886
0.1,0.8,100,60,3.994177947313227,4.127524823593887
0.1,0.8,100,61,3.7839563166098986,3.747737694567547
0.1,0.8,100,62,3.934720092835357,4.048974976572943
0.1,0.8,100,63,4.157814487639987,4.33958074862145
0.1,0.8,100,64,3.8758977732772655,3.9790699090447474
0.1,0.8,100,65,4.038785577346972,4.054321548120357
0.1,0.8,100,66,3.8005269612885497,3.8832013976753608
0.1,0.8,100,67,3.7761458967462618,3.8865680665990805
0.1,0.8,100,68,4.1974236138079934,4.223497957588668
0.1,0.8,100,69,4.155455232244325,4.3999144528537535
0.1,0.8,100,70,3.50533674593682,3.542689450736823
0.1,0.8,100,71,3.4686736678562884,3.487366685102217
0.1,0.8,100,72,3.953173371561411,3.9880682234551603
0.1,0.8,100,73,3.7292779986328783,3.8397005351462745
0.1,0.8,100,74,3.515191455359709,3.5268991395503715
0.1,0.8,100,75,3.882655906565004,3.8462743308952243
0.1,0.8,100,76,3.524716298372164,3.5777183229312324
0.1,0.8,100,77,3.6678012157592086,3.7732953706265637
0.1,0.8,100,78,3.7112104734370877,3.691236458094461
0.1,0.8,100,79,4.477415181558306,4.708812462795855
0.1,0.8,100,80,3.603760687512046,3.699952991074063
0.1,0.8,100,81,4.055962627347167,4.142862121489614
0.1,0.8,100,82,3.4205827287849915,3.448082178436174
0.1,0.8,100,83,3.427014597206636,3.4786884834746434
0.1,0.8,100,84,3.421725381402524,3.421830284135226
0.1,0.8,100,85,4.00974361913854,4.05225041154535
0.1,0.8,100,86,3.373182910050951,3.409386835594261
0.1,0.8,100,87,3.390761261674109,3.414605170127824
0.1,0.8,100,88,3.553489179126337,3.652556670963632
0.1,0.8,100,89,3.4620980485805535,3.5010966955520457
0.1,0.8,100,90,3.3642763839542296,3.4020247634328573
0.1,0.8,100,91,3.6011620797348707,3.704504816725177
0.1,0.8,100,92,3.983290029020858,4.216549576857693
0.1,0.8,100,93,3.5484541072085225,3.5915796201241568
0.1,0.8,100,94,3.439641379487453,3.5308597645338513
0.1,0.8,100,95,3.38725616261494,3.456250498482686
0.1,0.8,100,96,3.5634561852975013,3.619468705898275
0.1,0.8,100,97,3.427059665099343,3.4316860561050633
0.1,0.8,100,98,3.6851863467133246,3.8304516665300885
0.1,0.8,100,99,3.6143693807833013,3.752110603939867
0.1,0.8,100,100,3.537003247674574,3.558914704760846
0.1,0.8,100,101,3.3380365711577378,3.341223913141212
0.1,0.8,100,102,3.717778203304348,3.911600977367921
0.1,0.8,100,103,3.667880310224503,3.8058917210942624
0.1,0.8,100,104,3.4926975216126355,3.5178996201661015
0.1,0.8,100,105,3.3333155012505897,3.397525013653086
0.1,0.8,100,106,4.717848518114394,4.846958409739543
0.1,0.8,100,107,3.6538516324763375,3.814085044265991
0.1,0.8,100,108,3.4561138648234224,3.535843338222203
0.1,0.8,100,109,3.4210736525565424,3.464282757663028
0.1,0.8,100,110,3.4996229847282807,3.5381049720839726
0.1,0.8,100,111,3.3761313677085623,3.4385959891352504
0.1,0.8,100,112,3.922960541813735,4.067142555602736
0.1,0.8,100,113,3.3880070212316435,3.4929401609454542
0.1,0.8,100,114,3.2771279884513715,3.322055923031198
0.1,0.8,100,115,3.4810438873578904,3.606523963193981
0.1,0.8,100,116,3.249315804633723,3.3177075129965505
0.1,0.8,100,117,3.55361310140467,3.6313651798530064
0.1,0.8,100,118,3.227586766983762,3.2803190364774846
0.1,0.8,100,119,3.2820298646511397,3.365486471890599
0.1,0.8,100,120,3.4337723604633026,3.559425278518206
0.1,0.8,100,121,3.6842658990705957,3.8334862939769705
0.1,0.8,100,122,3.194653237298524,3.243518435975865
0.1,0.8,100,123,3.5142592019501193,3.5921129171845365
0.1,0.8,100,124,3.3024372522494003,3.3990095097658353
0.1,0.8,100,125,3.2830483495150373,3.352176378529404
0.1,0.8,100,126,3.1693019011686756,3.1941506437756852
0.1,0.8,100,127,3.1415782100304837,3.185669043161353
0.1,0.8,100,128,3.4174137804643605,3.468264052634284
0.1,0.8,100,129,3.414248004570905,3.5129124620382806
0.1,0.8,100,130,3.7333385049124708,3.90369939069154
0.1,0.8,100,131,3.269229870720147,3.3147669650924043
0.1,0.8,100,132,3.127524463720679,3.17727466062646
0.1,0.8,100,133,3.4360645313836047,3.5655154667222737
0.1,0.8,100,134,3.151777404666867,3.204614264445957
0.1,0.8,100,135,3.25840960519986,3.312602934803391
0.1,0.8,100,136,3.2732698919205148,3.382574428647641
0.1,0.8,100,137,3.283390021731729,3.3889648995994484
0.1,0.8,100,138,3.2423848117339737,3.282501027769428
0.1,0.8,100,139,3.12928368979992,3.1930616406659458
0.1,0.8,100,140,3.0822234586614727,3.1426493906356265
0.1,0.8,100,141,3.249741717654013,3.295350370448775
0.1,0.8,100,142,3.357364968437232,3.4854616317708174
0.1,0.8,100,143,3.4456138320181044,3.596670846455422
0.1,0.8,100,144,3.11208035421047,3.1421096793475107
