learning rate,momentum,batch size,epoch,train error,test error
0.05,0,100,0,6.567916222382789,6.4321556081818025
0.05,0,100,1,6.197282653494377,6.0953563315946555
0.05,0,100,2,6.008005483260758,5.933829229000426
0.05,0,100,3,5.889026280752621,5.843674543296682
0.05,0,100,4,5.689075901020477,5.629779151817824
0.05,0,100,5,5.6947208685010535,5.67158829907969
0.05,0,100,6,5.605111931155144,5.546315067291655
0.05,0,100,7,6.116732620937723,6.20520221607201
0.05,0,100,8,6.224209545322625,6.334765243235028
0.05,0,100,9,6.049772534004132,6.11308711488495
0.05,0,100,10,5.086701688780909,5.023636774179284
0.05,0,100,11,5.089585455371082,5.03633182386465
0.05,0,100,12,5.107906624041105,5.094631337793352
0.05,0,100,13,6.348446046480314,6.532866446974538
0.05,0,100,14,4.953701290468609,4.894503344923005
0.05,0,100,15,5.178877464506669,5.149928868880909
0.05,0,100,16,4.739865936400668,4.726668322510698
0.05,0,100,17,5.269294323405986,5.353710711843938
0.05,0,100,18,4.685200356879058,4.625138221058617
0.05,0,100,19,5.291081838588327,5.419487088293818
0.05,0,100,20,4.624393246647834,4.534039661062311
0.05,0,100,21,4.3347437698231195,4.238627890539021
0.05,0,100,22,4.56640555018517,4.5334475840031425
0.05,0,100,23,4.56232339220519,4.588800351553474
0.05,0,100,24,4.888912264093415,4.974941298949401
0.05,0,100,25,4.264343630547053,4.181231824992259
0.05,0,100,26,4.28329831706959,4.2439592934963475
0.05,0,100,27,4.630470817716163,4.688949426127733
0.05,0,100,28,5.194385963800425,5.34167016819059
0.05,0,100,29,4.442801731164704,4.345223686233909
0.05,0,100,30,4.1745363514740434,4.088259365658171
0.05,0,100,31,4.175541452684793,4.132824610607227
0.05,0,100,32,4.322229668334808,4.340994055323595
0.05,0,100,33,4.070899731255372,3.9561967212035087
0.05,0,100,34,4.396552677082635,4.2912327553015555
0.05,0,100,35,4.127060459051474,4.005445788409017
0.05,0,100,36,4.0541803943678705,3.974585954330475
0.05,0,100,37,5.249445560432326,5.422934415149824
0.05,0,100,38,4.209497968036207,4.112694245822595
0.05,0,100,39,4.2310346220270425,4.250186286014218
0.05,0,100,40,4.033681284022332,4.04294821558767
0.05,0,100,41,4.462046299602394,4.556120317215323
0.05,0,100,42,3.8937135592029195,3.7769368775730046
0.05,0,100,43,4.0416310058478215,4.0521323534138824
0.05,0,100,44,3.808850201863931,3.7391092516481996
0.05,0,100,45,3.9122192927542687,3.7986030637929713
0.05,0,100,46,3.850978629009802,3.7517794669275277
0.05,0,100,47,3.9087819942334003,3.8624592906167723
0.05,0,100,48,4.208008471244426,4.170572722841504
