learning rate,momentum,batch size,epoch,train error,test error
0.01,0.5,100,0,7.553667505447915,7.354197060161106
0.01,0.5,100,1,6.814836914521773,6.673473373778961
0.01,0.5,100,2,6.498805877958246,6.37040953443307
0.01,0.5,100,3,6.341026977933472,6.226348629542446
0.01,0.5,100,4,6.242378645745105,6.137473619939151
0.01,0.5,100,5,6.168308478189297,6.077542542638471
0.01,0.5,100,6,6.097217311982439,6.015824370190647
0.01,0.5,100,7,6.025777605465524,5.943513824258404
0.01,0.5,100,8,5.961828391721425,5.883398167468701
0.01,0.5,100,9,5.908674655177821,5.840087479063099
0.01,0.5,100,10,5.84312408266663,5.7715187151631735
0.01,0.5,100,11,5.776118809885576,5.701716230780204
0.01,0.5,100,12,5.717366865753969,5.6391223175184075
0.01,0.5,100,13,5.666978271796779,5.590587186724748
0.01,0.5,100,14,5.6023361850148055,5.522715331147868
0.01,0.5,100,15,5.551655009005251,5.475686230876441
0.01,0.5,100,16,5.488176894441608,5.403055911499484
0.01,0.5,100,17,5.4373788433919845,5.353530761167955
0.01,0.5,100,18,5.383981394078095,5.301385624025825
0.01,0.5,100,19,5.339588495475713,5.2613817780403815
0.01,0.5,100,20,5.254599018498588,5.16147574488781
0.01,0.5,100,21,5.25468322943911,5.185281675092637
0.01,0.5,100,22,5.148328584734182,5.0497418510623
0.01,0.5,100,23,5.096341874120432,5.008608450270526
0.01,0.5,100,24,5.026269461745518,4.929734461312948
0.01,0.5,100,25,4.963541211595154,4.865293551014762
0.01,0.5,100,26,5.024693862762851,4.95909337785499
0.01,0.5,100,27,4.830615719602975,4.715858748705074
0.01,0.5,100,28,4.798126657780335,4.689815800543393
0.01,0.5,100,29,4.714969201711896,4.588456747269206
0.01,0.5,100,30,4.950286855568028,4.901135031380791
0.01,0.5,100,31,4.637836686747375,4.516037727378789
0.01,0.5,100,32,4.5754453103002035,4.437250795593911
0.01,0.5,100,33,4.555565852219338,4.431288194388811
0.01,0.5,100,34,4.7483358241401445,4.618791260629038
0.01,0.5,100,35,4.659677545935915,4.591319508935437
0.01,0.5,100,36,4.422789003373162,4.29533512340504
0.01,0.5,100,37,4.382646211180218,4.238693168412662
0.01,0.5,100,38,4.347759949402082,4.2094681546940915
0.01,0.5,100,39,4.453415126393065,4.308242911266466
0.01,0.5,100,40,4.553697807070221,4.488970513329086
0.01,0.5,100,41,4.827892390038199,4.836588115433818
0.01,0.5,100,42,4.257914087853402,4.1236905215709045
0.01,0.5,100,43,4.578076694051527,4.452957569391641
0.01,0.5,100,44,4.613335634875153,4.578504218067702
0.01,0.5,100,45,4.506503164042879,4.3801589530143
0.01,0.5,100,46,4.5429710682485345,4.5190126524964995
0.01,0.5,100,47,4.094780465035552,3.9504687945566586
0.01,0.5,100,48,4.097359753398391,3.9401059701536396
0.01,0.5,100,49,4.508204960687677,4.4792460935025575
0.01,0.5,100,50,4.748611371565746,4.774002616768787
0.01,0.5,100,51,4.667571267557938,4.6965584841816765
0.01,0.5,100,52,4.2040999303626565,4.132796130753746
0.01,0.5,100,53,4.081097352009269,3.9757279053422083
0.01,0.5,100,54,4.051987699973819,3.9482101276976573
0.01,0.5,100,55,4.016942278741699,3.865414238182437
0.01,0.5,100,56,4.29814213876067,4.251959960865304
0.01,0.5,100,57,3.907334842076009,3.7503118253934633
0.01,0.5,100,58,4.142554851755327,4.072256386457606
0.01,0.5,100,59,4.200534013962124,4.1475962338105345
0.01,0.5,100,60,4.236339299376432,4.114806345236794
0.01,0.5,100,61,4.0160555710583,3.925236276649346
0.01,0.5,100,62,4.256780747590087,4.225076205398214
0.01,0.5,100,63,3.857670412332261,3.724334232490541
0.01,0.5,100,64,3.849775796944131,3.6951375318588613
0.01,0.5,100,65,4.0649281425388395,3.9965177100495084
0.01,0.5,100,66,3.8719833494211553,3.722107519806536
0.01,0.5,100,67,4.115033272537509,3.992078267008693
0.01,0.5,100,68,4.354367434622951,4.350210717779903
