learning rate,momentum,batch size,epoch,train error,test error
0.05,0.5,100,0,6.3330177885935806,6.2096366178379006
0.05,0.5,100,1,5.981318207203467,5.892016166016558
0.05,0.5,100,2,6.2563066651419055,6.214309919883264
0.05,0.5,100,3,5.659644391313732,5.617587506127808
0.05,0.5,100,4,5.54734039223602,5.490279845706919
0.05,0.5,100,5,5.521744312240522,5.492843386200546
0.05,0.5,100,6,5.264340083488367,5.229826741394761
0.05,0.5,100,7,5.090505533616424,5.060263534267613
0.05,0.5,100,8,5.76064519602156,5.692753817905976
0.05,0.5,100,9,5.319518345933575,5.280758717597738
0.05,0.5,100,10,5.483587565389286,5.453081171815764
0.05,0.5,100,11,5.019306744923568,4.976823455771226
0.05,0.5,100,12,5.27892680691651,5.3317178209638145
0.05,0.5,100,13,4.940708119759952,4.880323676778472
0.05,0.5,100,14,5.373969262993524,5.390945688283004
0.05,0.5,100,15,4.4782995226112545,4.409544438496934
0.05,0.5,100,16,4.614282428969079,4.649047331656468
0.05,0.5,100,17,4.504418163823105,4.464663693216982
0.05,0.5,100,18,5.111511650183943,5.24284447094855
0.05,0.5,100,19,4.710404120913409,4.6828894643461085
0.05,0.5,100,20,4.620821839396394,4.6722865221438745
0.05,0.5,100,21,4.501158832580895,4.467189762726611
0.05,0.5,100,22,4.268428080505384,4.244342611836136
0.05,0.5,100,23,4.312071163273296,4.249360447964436
0.05,0.5,100,24,4.222234319854974,4.226090751595461
0.05,0.5,100,25,4.88595542937161,5.081815486406196
0.05,0.5,100,26,4.933877793872756,5.032747466928455
0.05,0.5,100,27,4.610824409791212,4.682706879722679
0.05,0.5,100,28,4.039713532455327,4.014591253362104
0.05,0.5,100,29,5.085753145103657,5.0235006256926065
0.05,0.5,100,30,4.6550722677242895,4.744240755453374
0.05,0.5,100,31,4.309092950490076,4.320801097279739
0.05,0.5,100,32,4.120055638414656,4.080929314803392
0.05,0.5,100,33,4.466191360957898,4.4410991391402606
0.05,0.5,100,34,4.143958196239375,4.079344037149282
0.05,0.5,100,35,4.363258704355055,4.336209509629039
0.05,0.5,100,36,4.121567062597377,4.111602434076718
0.05,0.5,100,37,3.901580463621189,3.806581367438477
0.05,0.5,100,38,3.8123175751542306,3.731288658651411
0.05,0.5,100,39,4.268222496206443,4.32836785723232
0.05,0.5,100,40,4.297174164297241,4.429080300374478
0.05,0.5,100,41,4.432151815529275,4.511009704365271
0.05,0.5,100,42,3.7221875061842216,3.6597714672916624
0.05,0.5,100,43,4.519402144393598,4.669047079783375
0.05,0.5,100,44,4.091307994324202,4.173826585538811
0.05,0.5,100,45,4.217250505060368,4.173945985090174
0.05,0.5,100,46,4.139329658097816,4.237961764606045
0.05,0.5,100,47,3.656620477859219,3.5933895138774945
0.05,0.5,100,48,3.973132361123282,4.020407775165038
0.05,0.5,100,49,4.951073955150557,5.007305828564078
0.05,0.5,100,50,4.131588434044558,4.2551861589259135
0.05,0.5,100,51,4.06513864205705,4.144429998545742
0.05,0.5,100,52,3.5518959196905433,3.484799900165597
0.05,0.5,100,53,3.8336423171017366,3.8855816365694906
0.05,0.5,100,54,3.5335398808500247,3.481184818305195
0.05,0.5,100,55,3.652439600878208,3.630561836727977
0.05,0.5,100,56,4.0054629935605695,4.126972365770643
0.05,0.5,100,57,3.5480203058266278,3.483686136021459
0.05,0.5,100,58,3.963953798585189,4.062272389796201
0.05,0.5,100,59,3.578387637172506,3.505549175595939
0.05,0.5,100,60,3.472738106433438,3.4207212842114694
0.05,0.5,100,61,3.455074785699615,3.3871636132717935
0.05,0.5,100,62,3.9337251003923592,3.979326422733009
0.05,0.5,100,63,3.7299968261048884,3.793528485323171
0.05,0.5,100,64,3.5087587992849425,3.498811661307262
0.05,0.5,100,65,4.012995759236973,3.9667068620317525
0.05,0.5,100,66,3.3590757004850547,3.309098702342778
0.05,0.5,100,67,3.4907082203356263,3.439754194638082
0.05,0.5,100,68,3.4518737615321715,3.4234768397310837
0.05,0.5,100,69,3.4495674825228373,3.3748545211699756
0.05,0.5,100,70,3.3761258060730523,3.328783313548189
0.05,0.5,100,71,3.6001911178512427,3.5415440035346104
0.05,0.5,100,72,3.350008307295906,3.2998231141020176
0.05,0.5,100,73,3.5323562078305626,3.5175763362196224
0.05,0.5,100,74,3.3412846988513984,3.286512811726233
0.05,0.5,100,75,3.5042225718276696,3.5039705646781054
0.05,0.5,100,76,3.926569352297578,3.942311364871167
0.05,0.5,100,77,3.7278683811775823,3.710645791386777
0.05,0.5,100,78,3.3648351834718544,3.353771120230121
0.05,0.5,100,79,3.266177287769377,3.2074122874369
0.05,0.5,100,80,3.305883071138156,3.2714110932801708
0.05,0.5,100,81,4.019832659422432,4.147070023131921
0.05,0.5,100,82,3.2747505349742165,3.2466041488602313
0.05,0.5,100,83,3.516876308684684,3.565663547344289
0.05,0.5,100,84,3.242703384586566,3.2090295740975177
0.05,0.5,100,85,3.4658312057422704,3.4630369553707565
0.05,0.5,100,86,3.2023659050592768,3.151519996936415
0.05,0.5,100,87,3.193955827374005,3.1521286695614945
0.05,0.5,100,88,3.3551201087929137,3.3336896863516285
0.05,0.5,100,89,3.851079308441111,3.8510136227300795
0.05,0.5,100,90,3.193838103267721,3.150803115142061
0.05,0.5,100,91,3.2171068469675377,3.194079680683179
0.05,0.5,100,92,4.152598539253583,4.219097085236004
0.05,0.5,100,93,3.2110336248216993,3.1783855886676724
0.05,0.5,100,94,3.1775506819094756,3.1402666783548705
0.05,0.5,100,95,3.2805185035694135,3.2789590694120254
0.05,0.5,100,96,3.362631554197483,3.32377917286567
0.05,0.5,100,97,3.2545705081027045,3.2212069017644773
0.05,0.5,100,98,3.5146687936849212,3.5433998077974174
0.05,0.5,100,99,3.1713417508503094,3.1392228812605993
0.05,0.5,100,100,3.221012130738065,3.2121599920450534
0.05,0.5,100,101,3.30548562343501,3.2790785315095503
0.05,0.5,100,102,3.291614301532692,3.302670916097636
0.05,0.5,100,103,3.4171829490853955,3.471765425641296
0.05,0.5,100,104,3.2487956862188945,3.2394490154635256
0.05,0.5,100,105,3.536255185089031,3.520369803103369
0.05,0.5,100,106,3.1344107791166147,3.1110323883374105
0.05,0.5,100,107,3.0629158696673446,3.017597818542782
0.05,0.5,100,108,3.222919663132852,3.2034434900338864
0.05,0.5,100,109,3.1056673862818434,3.0890708403248
0.05,0.5,100,110,3.4221518057335008,3.3910625453522627
0.05,0.5,100,111,3.706982228216168,3.845559074950391
0.05,0.5,100,112,3.050373434618598,3.023096311789704
0.05,0.5,100,113,3.1726259803234065,3.1780898780228766
0.05,0.5,100,114,3.5938980568427366,3.563545941711357
0.05,0.5,100,115,3.1322786062746517,3.1219549064003767
0.05,0.5,100,116,3.3088948677727092,3.327483615004459
0.05,0.5,100,117,3.234966994544907,3.2234101904762316
0.05,0.5,100,118,3.27946693342684,3.315222291122005
0.05,0.5,100,119,4.102829973457918,4.073563805866547
0.05,0.5,100,120,3.0879037954133706,3.064934003595299
0.05,0.5,100,121,3.014847894312342,2.979510920719082
0.05,0.5,100,122,3.0793083775898884,3.051191803477252
0.05,0.5,100,123,3.2805440472256926,3.3136707222391797
0.05,0.5,100,124,3.0023252303731827,2.9707807968722646
0.05,0.5,100,125,3.3630123681409234,3.405029630477526
0.05,0.5,100,126,3.050475276617692,3.0177229555401777
0.05,0.5,100,127,3.159394689656513,3.1877166126528187
0.05,0.5,100,128,2.995182010060896,2.9710703177359106
0.05,0.5,100,129,3.1699577233275975,3.1339812139050327
0.05,0.5,100,130,3.0352722356667265,3.0379739759858975
0.05,0.5,100,131,3.201434461455555,3.206224728429279
0.05,0.5,100,132,3.0938057108472026,3.112035765722986
0.05,0.5,100,133,3.6174808383519257,3.63386253801118
0.05,0.5,100,134,3.040871712948117,3.042943618348734
0.05,0.5,100,135,3.149629974250349,3.1295061190791644
0.05,0.5,100,136,3.205794645649289,3.2312907992380864
0.05,0.5,100,137,3.3165323373542566,3.2774941254278627
0.05,0.5,100,138,2.949340730891113,2.9275376072653896
0.05,0.5,100,139,2.9281539602022857,2.8903978944621533
0.05,0.5,100,140,3.0638770661285135,3.0651696002878586
0.05,0.5,100,141,3.1042943638386435,3.1131308574325054
0.05,0.5,100,142,3.0525937163101418,3.0417628911054044
0.05,0.5,100,143,3.211276475879483,3.2462999300963804
0.05,0.5,100,144,3.0640997250630124,3.0845344577687572
0.05,0.5,100,145,2.940141159006243,2.92359665346352
0.05,0.5,100,146,2.9906297025978663,2.9898306613587127
0.05,0.5,100,147,3.7473370739385463,3.808996063146156
0.05,0.5,100,148,3.0664350761532897,3.0846800775441596
0.05,0.5,100,149,3.252639714326883,3.233285163124301
0.05,0.5,100,150,3.1762825638133045,3.2340946466547074
0.05,0.5,100,151,2.949892361771978,2.9275335155771622
0.05,0.5,100,152,2.882215437175118,2.863623169713101
0.05,0.5,100,153,3.1110215725293626,3.134783378892878
0.05,0.5,100,154,2.9116308523932806,2.9003083926213256
