learning rate,momentum,batch size,epoch,train error,test error
0.05,0.8,100,0,6.517828605912599,6.394331678002531
0.05,0.8,100,1,5.9971727099487735,5.9313072310976525
0.05,0.8,100,2,6.2138220922990755,6.24528093305104
0.05,0.8,100,3,5.953573075170314,5.951003578988184
0.05,0.8,100,4,5.561412103786288,5.525187047056578
0.05,0.8,100,5,6.026547554315682,6.130586477487296
0.05,0.8,100,6,5.433884221038518,5.432008823032897
0.05,0.8,100,7,5.193214461362252,5.187754922985721
0.05,0.8,100,8,4.998425007682887,4.966977557345258
0.05,0.8,100,9,5.074114634366824,5.085953115191191
0.05,0.8,100,10,5.3164151251900735,5.357928956389881
0.05,0.8,100,11,5.060832713314794,5.047522369154372
0.05,0.8,100,12,5.172486889249817,5.176616167274222
0.05,0.8,100,13,4.592982169871174,4.592824773744155
0.05,0.8,100,14,4.8653264299582615,4.820886476889669
0.05,0.8,100,15,4.68923493322464,4.74864353968967
0.05,0.8,100,16,4.456274129264223,4.46331043273544
0.05,0.8,100,17,5.15641221740831,5.299788204335826
0.05,0.8,100,18,5.093014163100639,5.254993831396293
0.05,0.8,100,19,4.4770535182090505,4.497167239421575
0.05,0.8,100,20,4.8110345573471065,4.832370211315728
0.05,0.8,100,21,5.189487189634772,5.379151292381641
0.05,0.8,100,22,5.206742061347691,5.39027737248017
0.05,0.8,100,23,4.312110810873927,4.359393701757988
0.05,0.8,100,24,4.885647607980939,4.8549795674086695
0.05,0.8,100,25,4.20212642251727,4.185313211511083
0.05,0.8,100,26,4.561031391103809,4.7280271991160605
0.05,0.8,100,27,4.99687172333189,5.183110717285507
0.05,0.8,100,28,3.971436264198445,3.9242372505153766
0.05,0.8,100,29,4.266278819371478,4.287389864739344
0.05,0.8,100,30,4.168706755271496,4.199254489422747
0.05,0.8,100,31,4.09361412720076,4.082580556100948
0.05,0.8,100,32,3.859671434558348,3.8174074804566422
0.05,0.8,100,33,4.513422801823403,4.695728302408987
0.05,0.8,100,34,4.034994175691365,4.0873216973246
0.05,0.8,100,35,3.9445821364108067,3.868164378432173
0.05,0.8,100,36,3.929600080754591,3.8810402080223394
0.05,0.8,100,37,4.317859668608428,4.346282199354883
0.05,0.8,100,38,3.8088653651855826,3.7608846127578124
0.05,0.8,100,39,5.055357595007408,5.1539353233334335
0.05,0.8,100,40,3.90916673110969,3.8768072862595475
0.05,0.8,100,41,4.054710629561978,4.023452156033837
0.05,0.8,100,42,4.200557874830225,4.225823010493385
0.05,0.8,100,43,4.058608103302986,4.134155719346485
0.05,0.8,100,44,3.9303163227581486,3.8228410356842026
0.05,0.8,100,45,3.7151388216832895,3.6909084761612228
0.05,0.8,100,46,4.097880822464568,4.013541346690024
0.05,0.8,100,47,3.8594603555413602,3.896152563026808
0.05,0.8,100,48,4.305094851563553,4.482993996017731
0.05,0.8,100,49,3.749548980488746,3.690141065883652
0.05,0.8,100,50,3.772104343031353,3.76604558430805
0.05,0.8,100,51,3.552287177637707,3.5240053424568467
0.05,0.8,100,52,3.7541107227824515,3.7630511546959933
0.05,0.8,100,53,3.833006565164849,3.919102715104823
0.05,0.8,100,54,3.5763697821605156,3.545217741347648
0.05,0.8,100,55,3.7255725797185653,3.7286295657252504
0.05,0.8,100,56,3.7919109658626104,3.8617863162643977
0.05,0.8,100,57,4.7665478730810875,5.039418024036006
0.05,0.8,100,58,4.0363377111665635,4.042281349674403
0.05,0.8,100,59,3.536417205691703,3.494789997159703
0.05,0.8,100,60,4.02287572099457,4.19893329482977
0.05,0.8,100,61,3.598810053830414,3.658151635891322
0.05,0.8,100,62,3.6911157739823124,3.6523504552334938
0.05,0.8,100,63,3.492709408018751,3.5220834369633254
0.05,0.8,100,64,4.633568384613827,4.905940258590755
0.05,0.8,100,65,3.4900838725767303,3.4919701113332464
0.05,0.8,100,66,3.855877688174516,3.8265777274331514
0.05,0.8,100,67,3.344909998430335,3.3252459240032666
0.05,0.8,100,68,3.6172546585671363,3.6013300692526484
0.05,0.8,100,69,3.52883827230719,3.5354650798260767
0.05,0.8,100,70,3.691557543869479,3.7810873514746945
0.05,0.8,100,71,3.583973356311985,3.6054827384776473
0.05,0.8,100,72,3.4260703126403187,3.432238120649352
0.05,0.8,100,73,3.5841055226749585,3.662659303407421
0.05,0.8,100,74,3.448234828291567,3.428684548725449
0.05,0.8,100,75,3.469971867899304,3.473528167490228
0.05,0.8,100,76,3.343528060424737,3.321872939872777
0.05,0.8,100,77,4.029948084399664,4.232474686391813
0.05,0.8,100,78,3.59019106385556,3.602758220986227
0.05,0.8,100,79,3.5918552554037815,3.5971401567158705
0.05,0.8,100,80,3.4218172415569557,3.4884990502908835
0.05,0.8,100,81,4.230492732845405,4.478345340209245
0.05,0.8,100,82,3.4388021229740393,3.425180421363604
0.05,0.8,100,83,3.3883336405438254,3.4334689701892582
0.05,0.8,100,84,3.62604716581447,3.717015744624305
0.05,0.8,100,85,3.830300004352768,4.004152544521186
0.05,0.8,100,86,3.4755777404552917,3.4649211104555917
0.05,0.8,100,87,3.440292053583984,3.4525790936450376
0.05,0.8,100,88,3.552643655120597,3.661479771698169
0.05,0.8,100,89,3.6919822998490703,3.7796748542959717
0.05,0.8,100,90,3.6318909301549303,3.6510959006242696
0.05,0.8,100,91,3.7246339428528,3.7241951450000936
0.05,0.8,100,92,3.512383065966374,3.5777909732428603
0.05,0.8,100,93,3.396178259348198,3.415587997547623
0.05,0.8,100,94,3.3157714497413986,3.3363648986883034
0.05,0.8,100,95,3.748023970070832,3.7931496650907928
0.05,0.8,100,96,3.2548197901707066,3.3107386570516812
0.05,0.8,100,97,3.653726102934815,3.7993356045295514
0.05,0.8,100,98,3.3174515526373822,3.3385726335925168
0.05,0.8,100,99,3.631333669227148,3.651140116012649
0.05,0.8,100,100,3.1582482059414207,3.168883340265196
0.05,0.8,100,101,3.912254854117603,4.119139283004212
0.05,0.8,100,102,3.3097153270168524,3.351952347089616
0.05,0.8,100,103,3.676399940760957,3.73898618703014
0.05,0.8,100,104,3.2667551086888347,3.33319759025759
0.05,0.8,100,105,3.5099910609260156,3.627634346108517
0.05,0.8,100,106,3.183265020005383,3.2170582260493568
0.05,0.8,100,107,3.385679153712829,3.420455728559213
0.05,0.8,100,108,3.2475191133477277,3.25289920588681
0.05,0.8,100,109,3.240853770333786,3.3062517626753762
0.05,0.8,100,110,3.1653038805970612,3.1971946318941042
0.05,0.8,100,111,3.1079507648227924,3.1189565407134494
0.05,0.8,100,112,3.3381179503456138,3.4069813727399154
0.05,0.8,100,113,3.2006940431755213,3.2305563577729397
0.05,0.8,100,114,3.534010956387426,3.548273471068391
0.05,0.8,100,115,3.1271331286851365,3.1641210171164365
0.05,0.8,100,116,3.218727343003027,3.264804375801199
0.05,0.8,100,117,3.4527445121801112,3.523403059603219
0.05,0.8,100,118,3.488565309975294,3.6200750975474434
0.05,0.8,100,119,3.223482860716498,3.2920710222709264
0.05,0.8,100,120,3.267656719651602,3.353087893845167
0.05,0.8,100,121,3.26535348910825,3.3215741660266143
0.05,0.8,100,122,3.361978798798244,3.3691871724406637
0.05,0.8,100,123,3.1321876187595463,3.1601781502743975
0.05,0.8,100,124,3.517340381867756,3.649754284857564
0.05,0.8,100,125,3.060629990245125,3.0740413764040246
0.05,0.8,100,126,3.471936873213808,3.5118327752612823
0.05,0.8,100,127,3.2330186251318924,3.334946231084066
0.05,0.8,100,128,3.246961244074323,3.326779342406931
0.05,0.8,100,129,3.146454986680089,3.1638990162185148
0.05,0.8,100,130,3.1271624020228743,3.1812351844551183
0.05,0.8,100,131,3.2945992954931573,3.406718915758319
0.05,0.8,100,132,3.1713781095807048,3.199572465973597
0.05,0.8,100,133,3.2221741217883966,3.2264925522145718
0.05,0.8,100,134,3.0464130560446647,3.091787130910155
0.05,0.8,100,135,3.103334359409791,3.1512655803757172
0.05,0.8,100,136,3.73995023793126,3.8627425523286476
0.05,0.8,100,137,3.5071517424343135,3.657657835827434
0.05,0.8,100,138,3.1103132134821534,3.1250588249076214
0.05,0.8,100,139,3.0647852382029197,3.0902088740396447
0.05,0.8,100,140,3.4983254173901304,3.6467047453941595
0.05,0.8,100,141,3.111732775278087,3.1270062314506855
0.05,0.8,100,142,3.100314439424316,3.1352549213774203
0.05,0.8,100,143,3.0880111839709503,3.1028071412413647
0.05,0.8,100,144,3.2469071507645917,3.338106565055211
0.05,0.8,100,145,3.046827048914362,3.0570014588620023
0.05,0.8,100,146,3.082800531804036,3.1140648193340392
0.05,0.8,100,147,3.296439498267941,3.391180617076321
0.05,0.8,100,148,3.286730581422197,3.3548664979050224
0.05,0.8,100,149,2.9399961121471074,2.964881432633572
0.05,0.8,100,150,3.0457195350984785,3.0857504268840183
0.05,0.8,100,151,3.2212229858374015,3.2545416993794123
0.05,0.8,100,152,3.1132685651151473,3.193603975007294
0.05,0.8,100,153,3.3171707114721647,3.4355743367460105
0.05,0.8,100,154,3.3667682106874213,3.4139033532515524
0.05,0.8,100,155,2.957132765739201,2.997167133131909
0.05,0.8,100,156,3.2593503792421576,3.376019094739249
0.05,0.8,100,157,2.9702640347223177,3.000460629606247
0.05,0.8,100,158,3.1192813238089623,3.189931584633004
0.05,0.8,100,159,3.2791444007191957,3.3969366569758934
0.05,0.8,100,160,2.978917031741004,3.0045323576726943
0.05,0.8,100,161,3.058685345891342,3.07615197091206
0.05,0.8,100,162,2.9963785082348964,3.043589145266707
0.05,0.8,100,163,3.193143604618852,3.248630213864185
0.05,0.8,100,164,2.891161926677091,2.9202413280848125
0.05,0.8,100,165,2.948498499396209,2.9841670282345167
0.05,0.8,100,166,3.3270635031234317,3.4512312241415306
0.05,0.8,100,167,3.0427864398147295,3.08343989210267
0.05,0.8,100,168,3.437140012760471,3.5429376564895643
0.05,0.8,100,169,3.0299732900383134,3.089966559011414
0.05,0.8,100,170,3.0454896527659248,3.1319316356608375
0.05,0.8,100,171,3.041183505554763,3.048115506969378
0.05,0.8,100,172,2.96013197333427,3.003296741221428
0.05,0.8,100,173,2.9970434136996027,3.0555420166898957
