learning rate,momentum,batch size,epoch,train error,test error
0.01,0.8,100,0,7.313139301865572,7.145821192447961
0.01,0.8,100,1,6.643253859952494,6.50987616251706
0.01,0.8,100,2,6.389862697872465,6.273628977249176
0.01,0.8,100,3,6.260517347031478,6.159250931763257
0.01,0.8,100,4,6.1633265717177235,6.062537803603151
0.01,0.8,100,5,6.078430766347752,5.993886954083576
0.01,0.8,100,6,6.007629774451301,5.935614290054072
0.01,0.8,100,7,5.922020232121274,5.846647707544534
0.01,0.8,100,8,5.843667288663684,5.7687100923173675
0.01,0.8,100,9,5.772826989148067,5.69441970831038
0.01,0.8,100,10,5.701375947956775,5.628040872217232
0.01,0.8,100,11,5.6361016838836715,5.553053507913807
0.01,0.8,100,12,5.565274073367889,5.484710049241214
0.01,0.8,100,13,5.499474058863109,5.415599278635756
0.01,0.8,100,14,5.435805938880426,5.350776211730485
0.01,0.8,100,15,5.421262246447307,5.355654882023614
0.01,0.8,100,16,5.297688167500025,5.215945892013826
0.01,0.8,100,17,5.313305470908209,5.25428169645542
0.01,0.8,100,18,5.181985144705576,5.101433246158459
0.01,0.8,100,19,5.122394943779052,5.017099752725178
0.01,0.8,100,20,5.210808722077298,5.115807195674389
0.01,0.8,100,21,5.340672836565513,5.343777753612709
0.01,0.8,100,22,5.238971301648324,5.216422816614816
0.01,0.8,100,23,4.920438527151484,4.8052920401159085
0.01,0.8,100,24,4.868080986048644,4.75636900721703
0.01,0.8,100,25,4.8692717792518705,4.761350075005133
0.01,0.8,100,26,4.710694398721929,4.577309968994799
0.01,0.8,100,27,5.211244890248666,5.239050635355095
0.01,0.8,100,28,4.604016385912986,4.464220724718012
0.01,0.8,100,29,4.698725505740164,4.569811278969543
0.01,0.8,100,30,4.6220733502635225,4.47999774119806
0.01,0.8,100,31,4.493239779321031,4.378327017985283
0.01,0.8,100,32,4.9281990590315585,4.936292541800389
0.01,0.8,100,33,4.868619379992977,4.8638251312735745
0.01,0.8,100,34,5.04109413094698,4.967644771453426
0.01,0.8,100,35,4.5282261471037,4.464613889893327
0.01,0.8,100,36,4.546744071006122,4.502177794068276
0.01,0.8,100,37,4.326263230276026,4.161396943252416
0.01,0.8,100,38,4.7718336688252965,4.701993174103229
0.01,0.8,100,39,4.737488239507329,4.76155159400612
0.01,0.8,100,40,4.42906018417938,4.375508298621491
0.01,0.8,100,41,4.1568664551521675,4.013647984371062
0.01,0.8,100,42,4.164021243287009,4.043283506633748
0.01,0.8,100,43,4.128979276731145,4.011646627757279
0.01,0.8,100,44,4.901724609988475,4.961732520609393
0.01,0.8,100,45,4.590661684544542,4.506339042857326
0.01,0.8,100,46,4.1937888219577255,4.119820379105042
0.01,0.8,100,47,4.618458874105924,4.637567147848788
0.01,0.8,100,48,4.265910311878779,4.124457174619872
0.01,0.8,100,49,3.9892730720856395,3.850374084567449
0.01,0.8,100,50,4.615153455938117,4.6495531390877085
0.01,0.8,100,51,4.022926648365351,3.8651851833886406
0.01,0.8,100,52,4.255474714535725,4.120744717183261
0.01,0.8,100,53,4.485939224322023,4.526498016227047
0.01,0.8,100,54,3.9459523898748783,3.7969236114188702
0.01,0.8,100,55,3.9487324337119833,3.812499485476051
0.01,0.8,100,56,4.147216105063169,4.103296485564866
0.01,0.8,100,57,3.898305189201123,3.7495392229117455
0.01,0.8,100,58,4.0236044829994615,3.8909392873315043
0.01,0.8,100,59,4.65963507329421,4.732752276337297
0.01,0.8,100,60,3.9137327562475512,3.810411910082017
0.01,0.8,100,61,4.203648304973109,4.095832227072601
0.01,0.8,100,62,4.4103852320091885,4.440664010371438
0.01,0.8,100,63,4.473076242490458,4.514022238909693
0.01,0.8,100,64,3.8152314627638635,3.6931231424722015
0.01,0.8,100,65,3.8855333270654073,3.7487957931161033
0.01,0.8,100,66,4.115751849295146,4.093606075051798
0.01,0.8,100,67,4.167295208060455,4.149028516560304
0.01,0.8,100,68,4.240669071916327,4.155551192116126
0.01,0.8,100,69,3.9993100038119813,3.9437900264695447
0.01,0.8,100,70,3.9947361290142567,3.941792562275822
0.01,0.8,100,71,3.9627826468568026,3.8409183907266327
0.01,0.8,100,72,3.7553029606685215,3.63423597668923
0.01,0.8,100,73,3.822454780348352,3.7264123076211644
0.01,0.8,100,74,3.886344098188017,3.7689940381384304
0.01,0.8,100,75,4.077707422077623,4.051120183402226
0.01,0.8,100,76,3.7095415297266294,3.576903752300502
0.01,0.8,100,77,4.147073210365835,4.0661434644818
0.01,0.8,100,78,3.704374918201265,3.5900637287741684
0.01,0.8,100,79,3.9950394828486875,3.9571662186307286
0.01,0.8,100,80,3.81289549289469,3.6972549012201386
0.01,0.8,100,81,4.186683847833545,4.13267991834609
0.01,0.8,100,82,3.7489386704539442,3.6625475425193623
0.01,0.8,100,83,3.900740920563901,3.7990490666599266
0.01,0.8,100,84,3.657554374469475,3.529223511765032
0.01,0.8,100,85,4.3344352511641855,4.375603282701274
0.01,0.8,100,86,3.8590771834077757,3.7595060209272226
0.01,0.8,100,87,4.195069227029155,4.214478026341684
0.01,0.8,100,88,4.05738229777142,4.05137892839936
0.01,0.8,100,89,3.7598819018774403,3.646902259386992
0.01,0.8,100,90,3.756472501210404,3.690922047464559
0.01,0.8,100,91,3.7980948536291645,3.741121255662261
0.01,0.8,100,92,3.897580543360028,3.8138487755130464
0.01,0.8,100,93,3.8181340401729598,3.769428615985711
0.01,0.8,100,94,3.6469246940162656,3.5333388429637753
0.01,0.8,100,95,3.615333571670993,3.495840374464333
0.01,0.8,100,96,3.750216538575648,3.700420000686701
0.01,0.8,100,97,3.7862269128751147,3.6933910329283988
0.01,0.8,100,98,3.546902042008358,3.44064645994693
0.01,0.8,100,99,3.5577271261988788,3.446553856979704
0.01,0.8,100,100,3.801298414427274,3.7148227196123895
0.01,0.8,100,101,3.6782051693335727,3.6127043970957136
0.01,0.8,100,102,3.842959765459723,3.819012385084496
0.01,0.8,100,103,3.5516831746724775,3.428721306838009
0.01,0.8,100,104,3.6286469037115108,3.5568567407039926
0.01,0.8,100,105,3.5499689529593454,3.4373448922449565
0.01,0.8,100,106,3.972901608433864,3.972660550636573
0.01,0.8,100,107,3.611967398229394,3.505306322560241
0.01,0.8,100,108,3.544991936500115,3.457201706543955
0.01,0.8,100,109,3.9263625786356418,3.926846580657024
0.01,0.8,100,110,3.5294879381606563,3.418906507224105
0.01,0.8,100,111,3.4711780465750626,3.3711674469332498
0.01,0.8,100,112,4.0504485099616225,4.075606874165897
0.01,0.8,100,113,3.561819298995811,3.453233389909043
0.01,0.8,100,114,3.4494121698738445,3.3398756790378092
0.01,0.8,100,115,3.70575999162871,3.66881559095742
0.01,0.8,100,116,3.423222218004475,3.313045345096562
0.01,0.8,100,117,3.825830172852303,3.757611280972359
0.01,0.8,100,118,3.7236720364322466,3.693308603352987
0.01,0.8,100,119,3.4990012729381283,3.4202545900177204
0.01,0.8,100,120,3.4280544297089706,3.3197604493885575
0.01,0.8,100,121,3.906601607002307,3.9175289110899487
0.01,0.8,100,122,3.4187488051898463,3.308796719536506
0.01,0.8,100,123,3.6927435736599716,3.615592813125711
